sku,name,category,type,state,imageUrl,reason
LTMT-SEMI,Semi Little Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
MBAG,Mineral Bag,"Grains, Pulses & Flours",consumable,active,,no_image_url
MGMF,Multigrain Malt Flour,Millets & Millet Products,finished,active,,no_image_url
MGPK,Mango Pickle,Spices & Condiments,finished,active,,no_image_url
MGPP,Mango Powder,Spices & Condiments,finished,active,,no_image_url
MGPW,Moringa Powder (Plain),Spices & Condiments,finished,active,,no_image_url
MILL-BROKEN,Broken grains,"Grains, Pulses & Flours",finished,active,,no_image_url
MILL-WASTE,Mill process waste,"Grains, Pulses & Flours",consumable,active,,no_image_url
MMDM-SEMI,Semi Multi Millet Dosa Mix (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
MMLT-SEMI,Semi Multi Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
MMPD,Millet Mix Papad,Millets & Millet Products,finished,active,,no_image_url
MMPD-SEMI,Semi Millet Mix Papad (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
MMPS,Multani Mitti & Palapak soap,Personal Care & Wellness,finished,active,,no_image_url
MMRK-SEMI,Semi Millet Muruku (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
MNLD,Minapa Laddu,Sweets & Snacks,finished,active,,no_image_url
MNPT,Millet Nippattu,Millets & Millet Products,finished,active,,no_image_url
MNPT-SEMI,Semi Millet Nippattu (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
MNTI,Menthi,Spices & Condiments,finished,active,,no_image_url
MRLQ,Mosrelief Liquid,Personal Care & Wellness,finished,active,,no_image_url
MSPD,Masala papad,Spices & Condiments,finished,active,,no_image_url
MSPW,Mango Seed Powder,Spices & Condiments,finished,active,,no_image_url
MUOL-UNFILT,Unfiltered Mustard Oil,Oils & Oil Seeds,semi,active,,no_image_url
NCMP,Natural Camphor,Dry Fruits & Superfoods,finished,active,,no_image_url
NFAB,Natural Fabric Wash,Personal Care & Wellness,finished,active,,no_image_url
NGOL-UNFILT,Unfiltered Niger Seed Oil,Oils & Oil Seeds,semi,active,,no_image_url
NHDY,Natural Hair Dye,Personal Care & Wellness,finished,active,,no_image_url
NLKR,Nalla Karam,Spices & Condiments,finished,active,,no_image_url
NNRD,Nannari Drink,Dry Fruits & Superfoods,finished,active,,no_image_url
NVRC-SEMI,Semi Navara Rice (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
ODTS,Organic Dried Tomato Slices,Spices & Condiments,finished,active,,no_image_url
PHPW,Pulihora mix powder,Spices & Condiments,finished,active,,no_image_url
PMPS,Pumpkin Seed,Dry Fruits & Superfoods,finished,active,,no_image_url
PRD,Almonds / Badam,Oils & Oil Seeds,finished,active,,no_image_url
PRD1,Chinthakaya Pickle,Oils & Oil Seeds,finished,active,,no_image_url
PRD2,Cashew chikki,Oils & Oil Seeds,finished,active,,no_image_url
PSLD,Pesara Laddu,Sweets & Snacks,finished,active,,no_image_url
PSMT-SEMI,Semi Proso Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
PTNL,Patnalu,Sweets & Snacks,finished,active,,no_image_url
RAGI,Finger Millet,Millets & Millet Products,finished,active,,no_image_url
RAGI-SEMI,Semi Finger Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RAGP,Finger Millet Poha,Millets & Millet Products,finished,active,,no_image_url
RAGP-SEMI,Semi Finger Millet Poha (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RAJWN,Raw Ajwain,Spices & Condiments,raw,active,,no_image_url
RAMRS,Raw Amaranth Seeds,Dry Fruits & Superfoods,raw,active,,no_image_url
RANPA,Raw Anapa pappu,"Grains, Pulses & Flours",raw,active,,no_image_url
RAW-BOT-1L,PET bottle 1 L (clear),"Grains, Pulses & Flours",raw,active,,no_image_url
RAW-CAP-S38,Cap with safety seal (38 mm),"Grains, Pulses & Flours",raw,active,,no_image_url
RAW-SOAP-ALOE-GEL,Raw Aloe Vera Gel,Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-CASTOR-OIL,Raw Castor Oil (soap grade),Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-CAUSTIC-SODA,Raw Caustic Soda,Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-COCO-OIL,Raw Coconut Oil (soap grade),Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-COW-MILK,Cow Milk (soap process),Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-DMDM,Raw DMDM,Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-FLAVOUR-OIL,Raw Flavour Oil (soap),Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-GINGELLY-OIL,Raw Gingelly Oil (soap grade),Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-NEEM-OIL,Raw Neem Oil (soap grade),Personal Care & Wellness,raw,active,,no_image_url
RAW-SOAP-TOMATO-JUICE,Tomato Juice (soap process),Personal Care & Wellness,raw,active,,no_image_url
RBAJA,Raw Bajra,Millets & Millet Products,raw,active,,no_image_url
RBAJP,Raw Bajra Poha,Millets & Millet Products,raw,active,,no_image_url
RBKSL,Raw Black Salt,Spices & Condiments,raw,active,,no_image_url
RBYLF,Raw Bay Leaf,Spices & Condiments,raw,active,,no_image_url
RBYMP,Raw Barnyard Millet Poha,Millets & Millet Products,raw,active,,no_image_url
RBYMT,Raw Barnyard Millet,Millets & Millet Products,raw,active,,no_image_url
RCARD,Raw Cardamom,Spices & Condiments,raw,active,,no_image_url
RCHIA,Raw Chia Seeds,Dry Fruits & Superfoods,raw,active,,no_image_url
RCINN,Raw Cinnamon,Spices & Condiments,raw,active,,no_image_url
RCMRC,Raw Chitti Muthyalu rice,"Grains, Pulses & Flours",raw,active,,no_image_url
RCPD,Rice papad,Sweets & Snacks,finished,active,,no_image_url
RCPD-SEMI,Semi Rice papad (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RCSC,Rock Salt (crystal),Spices & Condiments,finished,discontinued,,no_image_url
RCSHW,Raw Cashew,Dry Fruits & Superfoods,raw,active,,no_image_url
RCSL,Rock Salt,Spices & Condiments,finished,active,,no_image_url
RCWP,Red CowPea,"Grains, Pulses & Flours",finished,active,,no_image_url
RCWP-SEMI,Semi Red CowPea (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RDATE,Raw Dates,Dry Fruits & Superfoods,raw,active,,no_image_url
RDBRC,Raw Desi Basmati Rice,"Grains, Pulses & Flours",raw,active,,no_image_url
RFXMP,Raw Foxtail Millet Poha,Millets & Millet Products,raw,active,,no_image_url
RGDL-SEMI,Semi Redgram stone crushed (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RGMR,Ragi Muruku,Millets & Millet Products,finished,active,,no_image_url
RGMR-SEMI,Semi Ragi Muruku (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RGNDK,Raw Gond Katira,Dry Fruits & Superfoods,raw,active,,no_image_url
RGNGP,Raw Ginger Powder,Spices & Condiments,raw,active,,no_image_url
RGPD-SEMI,Semi Ragi papad (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RJAGB,Raw jaggery Small Balls,Dry Fruits & Superfoods,raw,active,,no_image_url
RJMA,Rajma beans,"Grains, Pulses & Flours",finished,active,,no_image_url
RJMA-SEMI,Semi Rajma beans (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RJPTR,Raw Japatri,Spices & Condiments,raw,active,,no_image_url
RJRC-SEMI,Semi Rajamudi Rice (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RJWPH,Raw Jowar Poha,Millets & Millet Products,raw,active,,no_image_url
RJWWH,Raw Jonnalu (white)/ Jowar,Millets & Millet Products,raw,active,,no_image_url
RKDMP,Raw Kodo Millet Poha,Millets & Millet Products,raw,active,,no_image_url
RKDMT,Raw Kodo Millet,Millets & Millet Products,raw,active,,no_image_url
RKLNJ,Raw Kalonji seeds,Dry Fruits & Superfoods,raw,active,,no_image_url
RKSME,Raw Kasuri Methi,Spices & Condiments,raw,active,,no_image_url
RKTRM,Raw Kasturi Turmeric,Spices & Condiments,raw,active,,no_image_url
RLTMP,Raw Little Millet Poha,Millets & Millet Products,raw,active,,no_image_url
RLTMT,Raw Little Millet,Millets & Millet Products,raw,active,,no_image_url
RMGPP,Raw Mango Powder,Spices & Condiments,raw,active,,no_image_url
RMNTI,Raw Menthi,Spices & Condiments,raw,active,,no_image_url
RMRK,Rice Muruku,Sweets & Snacks,finished,active,,no_image_url
RMRK-SEMI,Semi Rice Muruku (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RMSPW,Raw Mango Seed Powder,Spices & Condiments,raw,active,,no_image_url
RNCMP,Raw Natural Camphor,Dry Fruits & Superfoods,raw,active,,no_image_url
RNHDY,Raw Natural Hair Dye,Personal Care & Wellness,raw,active,,no_image_url
RNPT-SEMI,Semi Rice Nippattu (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RPMPS,Raw Pumpkin Seed,Dry Fruits & Superfoods,raw,active,,no_image_url
RRAR,Red Rice Ariselu,Sweets & Snacks,finished,active,,no_image_url
RRAR-SEMI,Semi Red Rice Ariselu (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RRPH-SEMI,Semi Red Rice Poha (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RRUP-SEMI,Semi Red Rice (Unpolished) (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
RSBJA,Raw Sabja Seeds,Dry Fruits & Superfoods,raw,active,,no_image_url
RSESL,Raw Sea Salt,Spices & Condiments,raw,active,,no_image_url
RSHKI,Raw Sheekai,Personal Care & Wellness,raw,active,,no_image_url
RSOYA,Raw Soya beans,"Grains, Pulses & Flours",raw,active,,no_image_url
RSPNT,Raw Soapnuts,Dry Fruits & Superfoods,raw,active,,no_image_url
RSSRC,Raw Sidda Sana Rice,"Grains, Pulses & Flours",raw,active,,no_image_url
RSTAR,Raw Anasa puvvu,Spices & Condiments,raw,active,,no_image_url
RTMRD,Raw Tamarind,Spices & Condiments,raw,active,,no_image_url
RTRP,Rat Trap,Personal Care & Wellness,finished,active,,no_image_url
RWLND,Raw Walnuts (Desi-Akhrot),Dry Fruits & Superfoods,raw,active,,no_image_url
SAFR,Saffron,Dry Fruits & Superfoods,finished,active,,no_image_url
SAJWN,Semi Ajwain,Spices & Condiments,semi,active,,no_image_url
SAMRS,Semi Amaranth Seeds,Dry Fruits & Superfoods,semi,active,,no_image_url
SAND,Sand,Home Utilities,consumable,active,,no_image_url
SANPA,Semi Anapa pappu,"Grains, Pulses & Flours",semi,active,,no_image_url
SBAJA,Semi Bajra,Millets & Millet Products,semi,active,,no_image_url
SBAJP,Semi Bajra Poha,Millets & Millet Products,semi,active,,no_image_url
SBJA,Sabja Seeds,Dry Fruits & Superfoods,finished,active,,no_image_url
SBKSL,Semi Black Salt,Spices & Condiments,semi,active,,no_image_url
SBWF,Sambhava wheat flour,"Grains, Pulses & Flours",finished,active,,no_image_url
SBWR,Sambhava wheat rawa,"Grains, Pulses & Flours",finished,active,,no_image_url
SBWR-SEMI,Semi Sambhava wheat rawa (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
SBWT-SEMI,Semi Sambhava wheat (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
SBYLF,Semi Bay Leaf,Spices & Condiments,semi,active,,no_image_url
SBYMP,Semi Barnyard Millet Poha,Millets & Millet Products,semi,active,,no_image_url
SBYMT,Semi Barnyard Millet,Millets & Millet Products,semi,active,,no_image_url
SCARD,Semi Cardamom,Spices & Condiments,semi,active,,no_image_url
SCHIA,Semi Chia Seeds,Dry Fruits & Superfoods,semi,active,,no_image_url
SCINN,Semi Cinnamon,Spices & Condiments,semi,active,,no_image_url
SCMRC,Semi Chitti Muthyalu rice,"Grains, Pulses & Flours",semi,active,,no_image_url
SCPD,Spicy Coconut Podwer,Dry Fruits & Superfoods,finished,active,,no_image_url
SCSHW,Semi Cashew,Dry Fruits & Superfoods,semi,active,,no_image_url
SDATE,Semi Dates,Dry Fruits & Superfoods,semi,active,,no_image_url
SDBRC,Semi Desi Basmati Rice,"Grains, Pulses & Flours",semi,active,,no_image_url
SEMI-BOT-1L,Semi PET bottle 1 L (clear),"Grains, Pulses & Flours",semi,active,,no_image_url
SEMI-CAP-S38,Semi Cap with safety seal (38 mm),"Grains, Pulses & Flours",semi,active,,no_image_url
SEMI-FB-1L,Filled bottle (1 L) - capped,"Grains, Pulses & Flours",semi,active,,no_image_url
SEMI-OBL-1L,Oil blend (1 L) - vitamin-fortified,Oils & Oil Seeds,semi,active,,no_image_url
SES,Sesame - Cake,Oils & Oil Seeds,finished,active,,no_image_url
SESL,Sea Salt,Spices & Condiments,finished,active,,no_image_url
SFOL-UNFILT,Unfiltered Safflower / Kusuma Oil,Oils & Oil Seeds,semi,active,,no_image_url
SFXMP,Semi Foxtail Millet Poha,Millets & Millet Products,semi,active,,no_image_url
SGNDK,Semi Gond Katira,Dry Fruits & Superfoods,semi,active,,no_image_url
SGNGP,Semi Ginger Powder,Spices & Condiments,semi,active,,no_image_url
SHKI,Sheekai,Personal Care & Wellness,finished,active,,no_image_url
SJAGB,Semi jaggery Small Balls,Dry Fruits & Superfoods,semi,active,,no_image_url
SJPP,Sweet Jowar Pops,Millets & Millet Products,finished,active,,no_image_url
SJPP-SEMI,Semi Sweet Jowar Pops (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
SJPTR,Semi Japatri,Spices & Condiments,semi,active,,no_image_url
SJWPH,Semi Jowar Poha,Millets & Millet Products,semi,active,,no_image_url
SJWWH,Semi Jonnalu (white)/ Jowar,Millets & Millet Products,semi,active,,no_image_url
SKDMP,Semi Kodo Millet Poha,Millets & Millet Products,semi,active,,no_image_url
SKDMT,Semi Kodo Millet,Millets & Millet Products,semi,active,,no_image_url
SKLNJ,Semi Kalonji seeds,Dry Fruits & Superfoods,semi,active,,no_image_url
SKSME,Semi Kasuri Methi,Spices & Condiments,semi,active,,no_image_url
SKTRM,Semi Kasturi Turmeric,Spices & Condiments,semi,active,,no_image_url
SLTMP,Semi Little Millet Poha,Millets & Millet Products,semi,active,,no_image_url
SLTMT,Semi Little Millet,Millets & Millet Products,semi,active,,no_image_url
SMFT,Siridhanyalu(Millets) Food that Heals,Millets & Millet Products,consumable,active,,no_image_url
SMGPP,Semi Mango Powder,Spices & Condiments,semi,active,,no_image_url
SMNTI,Semi Menthi,Spices & Condiments,semi,active,,no_image_url
SMRD,316 Steel Mesh (Round),"Grains, Pulses & Flours",consumable,active,,no_image_url
SMSH,316 Steel Mesh,"Grains, Pulses & Flours",consumable,active,,no_image_url
SMSPW,Semi Mango Seed Powder,Spices & Condiments,semi,active,,no_image_url
SNCMP,Semi Natural Camphor,Dry Fruits & Superfoods,semi,active,,no_image_url
SNHDY,Semi Natural Hair Dye,Personal Care & Wellness,semi,active,,no_image_url
SOAP-PROC,Processed Bath Soap (drying WIP),Personal Care & Wellness,semi,active,,no_image_url
SOIL,Sesame Oil,Oils & Oil Seeds,finished,active,,no_image_url
SOIL-UNFILT,Unfiltered Sesame Oil,Oils & Oil Seeds,semi,active,,no_image_url
SOYA,Soya beans,"Grains, Pulses & Flours",finished,active,,no_image_url
SOYA-SEMI,Semi Soya beans (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
SPMPS,Semi Pumpkin Seed,Dry Fruits & Superfoods,semi,active,,no_image_url
SPNT,Soapnuts,Personal Care & Wellness,finished,active,,no_image_url
SSB,Sesame-Seeds (Black),Oils & Oil Seeds,finished,active,,no_image_url
SSBJA,Semi Sabja Seeds,Dry Fruits & Superfoods,semi,active,,no_image_url
SSESL,Semi Sea Salt,Spices & Condiments,semi,active,,no_image_url
SSHKI,Semi Sheekai,Personal Care & Wellness,semi,active,,no_image_url
SSOYA,Semi Soya beans,"Grains, Pulses & Flours",semi,active,,no_image_url
SSPNT,Semi Soapnuts,Dry Fruits & Superfoods,semi,active,,no_image_url
SSRC,Sidda Sana Rice,"Grains, Pulses & Flours",finished,active,,no_image_url
SSRC-SEMI,Semi Sidda Sana Rice (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
SSSRC,Semi Sidda Sana Rice,"Grains, Pulses & Flours",semi,active,,no_image_url
SSTAR,Semi Anasa puvvu,Spices & Condiments,semi,active,,no_image_url
STAR,Anasa puvvu,Spices & Condiments,finished,active,,no_image_url
STMRD,Semi Tamarind,Spices & Condiments,semi,active,,no_image_url
SVSP,Sajja Vada Spicy,Sweets & Snacks,finished,active,,no_image_url
SWLND,Semi Walnuts (Desi-Akhrot),Dry Fruits & Superfoods,semi,active,,no_image_url
TLTC,Toilet Cleaner,Oils & Oil Seeds,finished,active,,no_image_url
TMRD,Tamarind,Spices & Condiments,finished,active,,no_image_url
TPDR,Tooth powder,Personal Care & Wellness,finished,active,,no_image_url
TRFC,Trifala Churn,Personal Care & Wellness,finished,active,,no_image_url
VNKR,Verrinuvvula karam,Spices & Condiments,finished,active,,no_image_url
WFE2,Water Filter-SS316 - E 23,"Grains, Pulses & Flours",consumable,active,,no_image_url
WFMS,Water Filter Stand - MS (Powder Coated),"Grains, Pulses & Flours",consumable,active,,no_image_url
WFSS,Water Filter Stand - SS (Stainless Steel),"Grains, Pulses & Flours",consumable,active,,no_image_url
WFST,Water Filter Stand,Home Utilities,consumable,active,,no_image_url
WGCK,White Gingely Chikki,Sweets & Snacks,finished,active,,no_image_url
WGLD,White Gingely Laddu,Sweets & Snacks,finished,active,,no_image_url
WGO,White gingelly oil,Oils & Oil Seeds,finished,active,,no_image_url
